index,sents,sentiments
35,"thầy tận tình hướng dẫn cách làm , giải quyết những thắc mắc của sinh viên .",2.0
36,"chúc các thầy cô , anh chị làm việc vui vẻ !",2.0
37,"hay , nhiệt tình , dễ hiểu .",2.0
38,"mặc dù nhiệt tình nhưng khi truyền đạt thì lại khó hiểu , sử dụng ngôn từ gây khó khăn cho việc hiểu bài .",0.0
39,"thầy dạy khá hay , cung cấp nhiều thông tin liên quan đến môn học , đưa ra nhiều hướng giải quyết khi sinh viên gặp vấn đề khó khăn với đồ án !",2.0
40,hy vọng học kỳ sau có thể học được với cô .,2.0
41,nhiều khi em lên lớp học môn đặc tả hình thức giống như lên lớp học mà không biết mình học cái gì .,0.0
42,trong khi giảng nói nhỏ quá .,0.0
43,thực hành khó hiểu .,0.0
44,"thầy rất tận tâm nhiệt tình , quan tâm đến sinh viên , giảng bài dễ hiểu , kiến thức sâu rộng am hiểu cao .",2.0
45,"cô dạy với nhiệt huyết của mình , dù như thế nào , cô vẫn luôn mỉm cười và kiên trì giảng bài cho chúng em đến khi chúng em hiểu .",2.0
46,"cô lên lớp đúng giờ , giảng bài rất dễ hiểu cho sinh viên .",2.0
47,"những thông tin cần thiết như doubledot thời gian dealine , cách nộp bài thường không dặn lớp thực hành thứ hai .",0.0
48,"thầy nhiệt tình , dễ chịu .",2.0
49,"giảng viên chưa đi sâu vào bản chất của vấn đề , em chỉ học thôi mà không biết bản chất của nó là gì nó có ứng dụng gì sau này cho chuyên nghành của em .",0.0
50,đặc biệt hơn là thầy đã bỏ rất nhiều công sức trong việc ra bài tập và chấm điểm một cách rõ ràng và minh bạch .,2.0
51,cô rất nhiệt tình và tận dụng tốt thời gian .,2.0
52,"giảng viên tận tâm , nhiệt huyết trong giảng dạy .",2.0
53,"thầy nhiệt tình , gần gũi .",2.0
54,"giảng viên tận tâm , giảng dễ hiểu , dễ tiếp thu .",2.0
55,tạo ra sự cạnh tranh trong mỗi buổi thực hành .,1.0
56,bài tập và có code tham khảo .,2.0
57,"cần nâng cấp hệ thống wifi , vì khi vào phòng thực hành , sinh viên không thể truy cập internet , buộc phải xin phép ra ngoài để làm bài .",0.0
58,tài liệu không chi tiết lắm .,0.0
59,"tận tâm , nhiệt tình , vui tính , dễ gần với sinh viên .",2.0
60,thầy dạy rất hay và nhiệt tình .,2.0
61,"thầy dạy không đúng giờ , không hướng dẫn sinh viên thực hành .",0.0
62,giúp đỡ học sinh quá ít .,0.0
63,cô dạy buồn ngủ quá .,0.0
64,nên kinh mong nội dung môn học được giảm tải cho phù hợp hơn với đặc thù của một trường công nghệ thông tin .,0.0
65,thầy tận tình vui tính .,2.0
66,cô lại kiểu khó tính nữa .,0.0
67,tạo hứng thú cho sinh viên .,2.0
68,cô giảng hay cuốn hút và truyền đạt dễ hiểu .,2.0
69,có hứng thú học .,2.0
70,ôn tập đúng theo thầy nhưng không biết cuối kỳ được mấy điểm .,1.0
71,"giảng viên hướng dẫn cụ thể , chi tiết .",2.0
72,giáo trình quá ít và nội dung không khác nhau là mấy .,0.0
73,"giáo viên nghỉ dạy liên tục , cuối học kỳ lại tăng học bù , những tiết học bù đó đã ảnh hưởng đến những đồ án , và trễ deadline .",0.0
74,"giáo viên lúc dạy lúc không , không dạy cũng không thông báo , sinh viên tốn thời gian , công sức , tiền bạc rồi ngồi đợi và đi về .",0.0
75,"cần có một phòng máy tốt hơn , hiện đại hơn .",0.0
